id,s41,s42,s43,trust_pomp,trust_bin,trust_c5,trust_c7,cohort,female,edu_years,hukou,party,region,subj_class,econ_subj,fairness,social_trust,si_med,si_pen,si_any,empstat,statsec,contract,lninc,internet,know_lawyer,know_police,voted,year,wt
1234.0,4,7,18,,,,,2.0,0.0,12.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,0.0,1.0,1.0,2.0,1.0,1.0,10.308985710144043,5.0,,,1.0,2017.0,0.3827948272228241
1235.0,4,7,21,,,,,5.0,1.0,15.0,2.0,0.0,1.0,5.0,,4.0,4.0,1.0,1.0,1.0,2.0,1.0,,11.512935638427734,4.0,,,0.0,2017.0,1.3349579572677612
1236.0,4,7,16,,,,,3.0,0.0,9.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,,9.90353775024414,5.0,,,0.0,2017.0,1.3914695978164673
1237.0,4,7,19,,,,,5.0,1.0,16.0,2.0,0.0,1.0,5.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,11.512935638427734,5.0,,,1.0,2017.0,0.9013756513595581
1238.0,4,7,20,,,,,5.0,1.0,16.0,1.0,1.0,1.0,5.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,,1.0,11.918396949768066,5.0,,,0.0,2017.0,1.3520634174346924
1239.0,4,7,18,,,,,5.0,0.0,12.0,1.0,0.0,1.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,10.819798469543457,4.0,,,0.0,2017.0,2.172687530517578
1241.0,4,7,22,,,,,3.0,1.0,9.0,1.0,0.0,1.0,8.0,3.0,4.0,4.0,1.0,0.0,1.0,4.0,,,0.0,1.0,,,1.0,2017.0,1.3481981754302979
1242.0,4,7,16,0.30000001192092896,0.0,0.0,0.0,2.0,0.0,9.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,1.0,0.0,1.0,4.0,,,10.308985710144043,5.0,1.0,0.0,0.0,2017.0,0.3827948272228241
1243.0,4,7,19,0.8999999761581421,1.0,1.0,1.0,6.0,1.0,16.0,1.0,0.0,1.0,7.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,2017.0,0.6674789786338806
1244.0,4,7,135,,,,,2.0,1.0,6.0,1.0,0.0,1.0,6.0,3.0,4.0,4.0,1.0,0.0,1.0,4.0,,,8.525360107421875,1.0,,,1.0,2017.0,1.2665928602218628
1245.0,4,7,22,,,,,4.0,1.0,12.0,1.0,0.0,1.0,5.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,10.308985710144043,5.0,,,1.0,2017.0,0.808918833732605
1246.0,4,7,20,,,,,3.0,0.0,15.0,2.0,0.0,1.0,5.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,0.0,,10.819798469543457,2.0,,,0.0,2017.0,1.1529812812805176
1247.0,4,7,19,,,,,4.0,0.0,19.0,2.0,0.0,1.0,6.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,11.918396949768066,5.0,,,0.0,2017.0,0.4872110188007355
1249.0,4,7,15,,,,,3.0,1.0,9.0,2.0,0.0,1.0,10.0,3.0,4.0,3.0,1.0,1.0,1.0,4.0,,,10.085850715637207,1.0,,,1.0,2017.0,0.26963964104652405
1251.0,4,7,15,,,,,5.0,1.0,12.0,1.0,0.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,,,0.0,5.0,,,0.0,2017.0,1.1618441343307495
1253.0,4,7,135,0.800000011920929,1.0,1.0,1.0,2.0,1.0,6.0,1.0,0.0,1.0,5.0,3.0,4.0,4.0,0.0,1.0,1.0,4.0,,,8.525360107421875,3.0,0.0,0.0,1.0,2017.0,0.8443953394889832
1255.0,4,7,14,1.0,1.0,1.0,1.0,2.0,1.0,9.0,2.0,1.0,1.0,5.0,3.0,4.0,4.0,1.0,1.0,1.0,4.0,,,10.571342468261719,2.0,0.0,0.0,1.0,2017.0,0.4221976697444916
1256.0,4,7,16,,,,,2.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,4.0,4.0,1.0,0.0,1.0,4.0,,,9.90353775024414,3.0,,,0.0,2017.0,0.19139741361141205
1257.0,4,7,19,,,,,2.0,1.0,16.0,2.0,1.0,1.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,,,10.819798469543457,5.0,,,0.0,2017.0,1.1789233684539795
1258.0,4,7,19,0.8999999761581421,1.0,1.0,1.0,5.0,1.0,16.0,2.0,0.0,1.0,,2.0,4.0,4.0,1.0,1.0,1.0,2.0,,0.0,11.002116203308105,5.0,1.0,1.0,1.0,2017.0,0.6674789786338806
1259.0,4,7,19,,,,,1.0,0.0,16.0,2.0,1.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,,,10.308985710144043,5.0,,,0.0,2017.0,1.236725926399231
1260.0,4,7,135,,,,,5.0,1.0,15.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,10.308985710144043,3.0,,,0.0,2017.0,1.8027513027191162
1262.0,4,7,135,,,,,4.0,0.0,6.0,2.0,0.0,1.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,,11.002116203308105,5.0,,,0.0,2017.0,1.7268269062042236
1263.0,4,7,135,,,,,4.0,1.0,16.0,1.0,0.0,1.0,5.0,4.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,11.775297164916992,5.0,,,0.0,2017.0,1.3520634174346924
1264.0,4,7,16,,,,,5.0,1.0,16.0,1.0,0.0,1.0,5.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,10.819798469543457,5.0,,,1.0,2017.0,1.3520634174346924
1265.0,4,7,135,0.8999999761581421,1.0,1.0,1.0,4.0,0.0,12.0,2.0,0.0,1.0,5.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,11.512935638427734,5.0,1.0,1.0,1.0,2017.0,1.295120120048523
